SDD Version, SDDv2.0;
Software, TOPAS-nBio;
Author, Name;
Simulation Details, Nucleus simulation;
Source, Monoenergetic source;
Source type, 1;
Incident particles, 2212;
Mean particle energy, 0.030000;
Energy distribution, M, 0;
Particle fraction, 1.0;
Dose or fluence, 1, 1e-12;
Dose rate, 0.0;
Irradiation target, Nucleus;
Volumes, 0,5,5,5,0,0,0,1,4.65,4.65,4.65,0,0,0;
Chromosome sizes, 46,252.823,252.823,248.157,248.157,204.04,204.04,195.556,195.556,184.951,184.951,174.77,174.77,162.469,162.469,149.318,149.318,143.38,143.38,138.289,138.289,137.441,137.441,135.32,135.32,116.655,116.655,108.595,108.595,102.656,102.656,90.7788,90.7788,80.1738,80.1738,77.6286,77.6286,65.3268,65.3268,63.63,63.63,47.9346,47.9346,50.4798,50.4798,58.9638,158.227;
DNA Density, 14.4318;
Cell Cycle Phase, 0;
DNA Structure, 0, 1;
In vitro / in vivo, 0;
Proliferation status, 1;
Microenvironment, 20, 0.01;
Damage definition, 1, 0, 10, 10, 11.75;
Time, 0.000000;
Damage and primary count, 91, 42229;
Data entries, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0;
Additional information, ;
***EndOfHeader***;
0, 7049; 1.169104, -2.519499, -0.724522 / 1.169104, -2.519499, -0.724522 / 1.169104, -2.519499, -0.724522; 1, 9, 1, 0; 0.595249271159; 1, 0, 1; 1, 10, 0; 2, 1, 2 ;
0, 7049; 1.174290, -2.533901, -0.716228 / 1.174290, -2.533901, -0.716228 / 1.174290, -2.533901, -0.716228; 1, 9, 1, 0; 0.595256938046; 1, 0, 1; 1, 10, 0; 3, 1, 2 ;
0, 7049; 1.072176, -2.961998, -0.736533 / 1.072176, -2.961998, -0.736533 / 1.072176, -2.961998, -0.736533; 1, 9, 1, 0; 0.602831936208; 1, 0, 1; 1, 10, 0; 3, 1, 2 ;
0, 7049; 0.835342, -3.513299, -0.481602 / 0.835342, -3.513299, -0.481602 / 0.835342, -3.513299, -0.481602; 1, 9, 1, 0; 0.872666973775; 1, 0, 1; 1, 10, 0; 3, 1, 2 ;
0, 7049; 1.012205, -0.282518, -0.923153 / 1.013181, -0.282377, -0.922789 / 1.011229, -0.282659, -0.923517; 1, 12, 1, 0; 0.449521228995; 2, 3, 1; 3, 11, 0; 1, 1, 1 / 2, 1, 1 / 2, 2, 0 / 2, 7, 2 / 3, 1, 1 ;
0, 7049; 1.008145, -0.287901, -0.916683 / 1.008663, -0.287621, -0.916274 / 1.007626, -0.288182, -0.917092; 1, 12, 1, 0; 0.449520845635; 2, 2, 1; 2, 11, 0; 2, 6, 0 / 2, 7, 1 / 3, 2, 1 / 3, 8, 0 / 4, 1, 2 ;
0, 7049; 1.054306, -2.136531, -0.585699 / 1.054306, -2.136531, -0.585699 / 1.054306, -2.136531, -0.585699; 1, 12, 1, 0; 0.653367006083; 1, 0, 1; 0, 11, 0; 1, 1, 2 ;
0, 7049; 1.057151, -2.152937, -0.588687 / 1.057151, -2.152937, -0.588687 / 1.057151, -2.152937, -0.588687; 1, 12, 1, 0; 0.653368905719; 0, 1, 0; 0, 11, 0; 4, 1, 1 ;
0, 7049; 0.992087, -1.942410, -0.455547 / 0.992087, -1.942410, -0.455547 / 0.992087, -1.942410, -0.455547; 1, 12, 1, 0; 0.653927987806; 1, 0, 1; 0, 11, 0; 1, 1, 2 ;
0, 7049; 0.992657, -1.951272, -0.455399 / 0.992729, -1.950965, -0.455058 / 0.992585, -1.951578, -0.455740; 1, 12, 1, 0; 0.653929629960; 2, 1, 1; 2, 10, 0; 2, 1, 1 / 2, 4, 2 ;
0, 7049; 1.007537, -0.283356, -0.923841 / 1.007537, -0.283356, -0.923841 / 1.007537, -0.283356, -0.923841; 1, 12, 1, 0; 0.449521126003; 1, 0, 1; 1, 10, 0; 2, 1, 2 / 4, 4, 0 ;
0, 7049; 1.014296, -0.283034, -0.920289 / 1.014296, -0.283034, -0.920289 / 1.014296, -0.283034, -0.920289; 1, 12, 1, 0; 0.449521326266; 1, 0, 1; 1, 10, 0; 2, 1, 2 ;
