Time_ps,H2O2^0,H3O^1,HO2^-1,HO2^0,H^0,H_2^0,O2^-1,O2^0,O3P^0,O3^-1,O3^0,OH^-1,OH^0,O^-1,e_aq^-1
174.753,0.666162,6.34252,0.0,0.0,0.703874,0.488822,0.0,0.0,0.0,0.0,0.0,0.262127,6.42959,0.0,6.21011
200.923,0.69846,6.30626,0.0,0.0,0.706674,0.497019,0.0,0.0,0.0,0.0,0.0,0.272227,6.33783,0.0,6.16374
231.013,0.731085,6.26293,0.0,0.0,0.710135,0.501655,0.0,0.0,0.0,0.0,0.0,0.278615,6.23559,0.0,6.11403
265.609,0.763116,6.22403,0.0,0.0,0.713664,0.507375,0.0,0.0,0.0,0.0,0.0,0.286478,6.13973,0.0,6.06726
305.386,0.796711,6.17318,0.0,0.0,0.719556,0.512775,0.0,0.0,0.0,0.0,0.0,0.285915,6.03895,0.0,6.01697
351.119,0.826913,6.1314,0.0,0.0,0.72298,0.518282,0.0,0.0,0.0,0.0,0.0,0.295573,5.94154,0.0,5.96554
403.702,0.862344,6.08487,0.0,0.0,0.732109,0.525932,0.0,0.0,0.0,0.0,0.0,0.307221,5.83693,0.0,5.90735
464.159,0.892243,6.04099,0.0,0.0,0.739684,0.532025,0.0,0.0,0.0,0.0,0.0,0.319341,5.7409,0.0,5.85136
533.67,0.921199,5.99215,0.0,0.0,0.746414,0.539412,0.0,0.0,0.0,0.0,0.0,0.32868,5.64631,0.0,5.79318
613.591,0.946622,5.93359,0.0,0.0,0.758388,0.545783,0.0,0.0,0.0,0.0,0.0,0.339072,5.55123,0.0,5.72423
705.48,0.974979,5.88196,0.0,0.0,0.767115,0.554178,0.0,0.0,0.0,0.0,0.0,0.350932,5.45654,0.0,5.66074
811.131,0.998582,5.83001,0.0,0.0,0.777859,0.561846,0.0,0.0,0.0,0.0,0.0,0.364754,5.36964,0.0,5.59497
932.603,1.02539,5.77795,0.0,0.0,0.788269,0.570226,0.0,0.0,0.0,0.0,0.0,0.376789,5.27911,0.0,5.53087
1072.27,1.05074,5.71871,0.0,0.0,0.801751,0.579855,0.0,0.0,0.0,0.0,0.0,0.387877,5.19081,0.0,5.46054
1232.85,1.07541,5.65484,0.0,0.0,0.817445,0.588795,0.0,0.0,0.0,0.0,0.0,0.400956,5.0981,0.0,5.38359
1417.47,1.09737,5.59881,0.0,0.0,0.827361,0.598883,0.0,0.0,0.0,0.0,0.0,0.418143,5.01106,0.0,5.31038
1629.75,1.11737,5.53545,0.0,0.0,0.842865,0.608528,0.0,0.0,0.0,0.0,0.0,0.429818,4.93081,0.0,5.23534
1873.82,1.13511,5.474,0.0,0.0,0.852866,0.618586,0.0,0.0,0.0,0.0,0.0,0.438749,4.85508,0.0,5.16496
2154.43,1.15432,5.41682,0.0,0.0,0.862854,0.630106,0.0,0.0,0.0,0.0,0.0,0.459215,4.77203,0.0,5.08731
2477.08,1.17184,5.35444,0.0,0.0,0.87563,0.641364,0.0,0.0,0.0,0.0,0.0,0.476652,4.69247,0.0,5.0075
2848.04,1.18755,5.29336,0.0,0.0,0.88793,0.652047,0.0,0.0,0.0,0.0,0.0,0.492856,4.61743,0.0,4.93021
3274.55,1.20008,5.22733,0.0,0.0,0.903282,0.664011,0.0,0.0,0.0,0.0,0.0,0.506442,4.55203,0.0,4.85059
3764.94,1.21567,5.16553,0.0,0.0,0.915771,0.675942,0.0,0.0,0.0,0.0,0.0,0.522165,4.47968,0.0,4.77308
4328.76,1.22544,5.10707,0.0,0.0,0.926597,0.689184,0.0,0.0,0.0,0.0,0.0,0.544333,4.41682,0.0,4.69245
4977.02,1.23549,5.04666,0.0,0.0,0.938409,0.701126,0.0,0.0,0.0,0.0,0.0,0.561077,4.35527,0.0,4.6153
5722.37,1.2454,4.98503,0.0,0.0,0.953157,0.714005,0.0,0.0,0.0,0.0,0.0,0.579349,4.29606,0.0,4.53539
6579.33,1.2567,4.92342,0.0,0.0,0.965765,0.727119,0.0,0.0,0.0,0.0,0.0,0.603235,4.22678,0.0,4.44989
7564.63,1.26362,4.86061,0.0,0.0,0.976532,0.739552,0.0,0.0,0.0,0.0,0.0,0.618952,4.17006,0.0,4.37137
8697.49,1.27158,4.80313,0.0,0.0,0.989828,0.751848,0.0,0.0,0.0,0.0,0.0,0.64253,4.11096,0.0,4.29031
10000.0,1.27743,4.74634,0.0,0.0,0.999159,0.76547,0.0,0.0,0.0,0.0,0.0,0.665167,4.05642,0.0,4.21089
11497.6,1.28429,4.69193,0.0,0.0,1.0079,0.779408,0.0,0.0,0.0,0.0,0.0,0.686065,4.00399,0.0,4.13557
13219.4,1.29044,4.63573,0.0,0.0,1.01327,0.794144,0.0,0.0,0.0,0.0,0.0,0.706663,3.94973,0.0,4.05877
15199.1,1.29502,4.57898,0.0,0.0,1.022,0.805996,0.0,0.0,0.0,0.0,0.0,0.719178,3.90375,0.0,3.98951
17475.3,1.29906,4.52492,0.0,0.0,1.02967,0.818719,0.0,0.0,0.0,0.0,0.0,0.733779,3.86013,0.0,3.92085
20092.3,1.30286,4.47178,0.0,0.0,1.03715,0.830755,0.0,0.0,0.0,0.0,0.0,0.750892,3.81383,0.0,3.8506
23101.3,1.30626,4.42491,0.0,0.0,1.04405,0.841916,0.0,0.0,0.0,0.0,0.0,0.766817,3.77346,0.0,3.7878
26560.9,1.31303,4.37661,0.0,0.0,1.05083,0.853111,0.0,0.0,0.0,0.0,0.0,0.780257,3.72734,0.0,3.72606
30538.6,1.31601,4.33414,0.0,0.0,1.0542,0.862946,0.0,0.0,0.0,0.0,0.0,0.799608,3.68261,0.0,3.66424
35111.9,1.31873,4.29061,0.0,0.0,1.05942,0.872792,0.0,0.0,0.0,0.0,0.0,0.811062,3.64709,0.0,3.60925
40370.2,1.3229,4.24765,0.0,0.0,1.06156,0.887318,0.0,0.0,0.0,0.0,0.0,0.827563,3.6105,0.0,3.5498
46415.9,1.3262,4.21101,0.0,0.0,1.06589,0.896379,0.0,0.0,0.0,0.0,0.0,0.841576,3.57568,0.0,3.49914
53367.0,1.32859,4.17118,0.0,0.0,1.06925,0.906822,0.0,0.0,0.0,0.0,0.0,0.854804,3.54209,0.0,3.44609
61359.1,1.33095,4.13494,0.0,0.0,1.07392,0.915107,0.0,0.0,0.0,0.0,0.0,0.866253,3.51092,0.0,3.3984
70548.0,1.33396,4.09896,0.0,0.0,1.07933,0.923592,0.0,0.0,0.0,0.0,0.0,0.877925,3.47962,0.0,3.35075
81113.1,1.33521,4.06161,0.0,0.0,1.0865,0.932569,0.0,0.0,0.0,0.0,0.0,0.890453,3.45237,0.0,3.30087
93260.3,1.33882,4.02811,0.0,0.0,1.08887,0.940309,0.0,0.0,0.0,0.0,0.0,0.898857,3.42109,0.0,3.25896
107227.0,1.34063,3.99642,0.0,0.0,1.09269,0.950158,0.0,0.0,0.0,0.0,0.0,0.911966,3.39621,0.0,3.21417
123285.0,1.33896,3.96431,0.0,0.0,1.09598,0.957962,0.0,0.0,0.0,0.0,0.0,0.924058,3.37424,0.0,3.16996
